,Random Walk (Mean),Random Walk (S.D.),BMTE (Mean),BMTE (S.D.),BMTE+Pruning (Mean),BMTE+Pruning (S.D.)
Dataset #1,53.97128949463951,2.172976768389877,58.02908752308158,0.021629150653895732,94.38570266213334,8.099903554293835
Dataset #2,53.411943176619104,0.6026843386130842,62.22902712218418,0.008711031175576449,71.07288405399912,11.564276835422548
Dataset #3,58.10616837890998,3.517202341659043,69.27236181035713,0.003799853623110771,85.8311299431007,11.228502892055305
Dataset #4,50.302185527079004,0.8140998807159832,55.366023448655405,0.017720041851837842,94.86235974061606,9.058270367618213
Dataset #5,51.215451814615314,1.0836238958490774,53.27146295013942,0.019885893944722104,93.1701811703667,11.01913162397709
Dataset #6,48.90764852743525,0.23897506509429656,49.02928250883723,0.008640530782953027,85.9561859540799,18.630075327966555
Dataset #7,48.78969216312351,0.3556327802561495,49.219173485252114,0.03851229467726053,63.513151803851656,16.870949716925875
Dataset #8,48.518088242027645,0.6438095064014726,48.34469781401849,0.039714307127603,91.07905615245463,13.358528281211191
Dataset #9,49.5370372508226,0.7046784354988294,55.11679495895174,0.017844467206629012,73.99950934831466,18.583930995986332
Dataset #10,48.78219604030757,0.6216863306365666,50.29892549154961,0.04985024467981187,68.16128337383307,20.59441872889515
Dataset #11,50.84199765658124,0.8701595096082118,52.111059893198195,0.059422619850759056,70.92183586889301,19.541902155458825
Dataset #12,48.93307208894139,1.0217086786477436,48.01349517603315,0.04001912520144714,62.97132189049112,13.825282676696286
Dataset #13,48.49642076877755,0.33806848386583704,48.240824349172016,0.029466689947860315,61.109923764336806,18.398639283988782
Dataset #14,48.34564719651867,0.31079558890365044,48.64744840541726,0.01709145256033985,71.30272575406114,20.043608601840205
Dataset #15,47.78578367232747,0.346614928601677,47.05782719779974,0.02742555582831618,59.68361711865854,17.276070654499353
Dataset #16,47.184344678784946,0.6246741728196046,45.97259502277956,0.044026578595602425,59.79638754928406,14.503255711161124
Dataset #17,48.006154474654885,0.35513141472017845,48.450126887083385,0.03390673935559337,60.72299131592611,19.608653292534534
Dataset #18,47.77526232028396,0.34910601750223363,47.933828526357374,0.03478051697657976,56.083910076666065,14.595389142985342
Dataset #19,47.568541461541756,0.43146420707849586,46.11125264132931,0.08259118774339341,46.298481720108725,3.618780093185212
Dataset #20,46.27628327942389,0.8322648965410597,45.19414044936146,0.027574725507829797,58.68939054929708,19.27066924248117
