,EDSM,Random Walk (Mean),Random Walk (S.D.),BMTE (Mean),BMTE (S.D.),BMTE+Pruning (Mean),BMTE+Pruning (S.D.)
Dataset #1,0.9486729857819904,0.9459026140693201,0.00846830791279899,0.9259476005030878,0.021629150653895732,0.7498199060979298,0.06051918962124732
Dataset #2,0.9794156096526869,0.9220405125544007,0.0059877555596658414,0.9214563162257677,0.008711031175576449,0.718017773137919,0.07634203071748966
Dataset #3,0.9631201550387597,0.9720504546505261,0.0034419691435941765,0.9708356637352953,0.003799853623110771,0.8426030594623078,0.08159268432870849
Dataset #4,0.9718441673804765,0.9431026767641516,0.012190982618239138,0.9493671671789992,0.017720041851837842,0.6906357095403977,0.06657752391358845
Dataset #5,0.988479262672811,0.885926205286901,0.014066800037329137,0.8398628697274505,0.019885893944722104,0.6357128255643328,0.0660398700375014
Dataset #6,0.5107446276861569,0.6045961201844327,0.024614876504170925,0.5695445187236585,0.008640530782953027,0.5362425373522467,0.029947137982500385
Dataset #7,0.4937475952289342,0.6756914022639806,0.028105087993313446,0.6413856006916544,0.03851229467726053,0.5230905874784575,0.03244832362855417
Dataset #8,0.5944055944055944,0.7262477171222372,0.03434138491668698,0.6907937120538212,0.039714307127603,0.5534682233124034,0.04701644367322766
Dataset #9,0.9642056374119155,0.9169877379443683,0.007120238970087268,0.9179790725577968,0.017844467206629012,0.773328240627993,0.14825180152301662
Dataset #10,0.8513655462184874,0.7967718319114612,0.02114929141732627,0.7511369787262936,0.04985024467981187,0.5746617363058326,0.05160368165043036
Dataset #11,0.58859357696567,0.7578998355141262,0.025092954461455513,0.7382677515148135,0.059422619850759056,0.5670672297397331,0.023624784213100797
Dataset #12,0.3943722943722944,0.5347074799763478,0.04416647682442208,0.5436169427415399,0.04001912520144714,0.4830622685870921,0.04132302802012421
Dataset #13,0.48242258652094716,0.605276232968191,0.046223743153444075,0.6133595440943593,0.029466689947860315,0.512443908276696,0.03122206448808338
Dataset #14,0.5262337662337662,0.5646523056393891,0.023109934412552147,0.5608917054368451,0.01709145256033985,0.5042668491231426,0.03327583516648437
Dataset #15,0.5227272727272727,0.567824074939379,0.05296431142426757,0.5816212253981062,0.02742555582831618,0.5319986701800987,0.04196976798939676
Dataset #16,0.5119047619047619,0.7187091398549141,0.07539522512524692,0.6288111708240798,0.044026578595602425,0.5693671293786331,0.08192440335358628
Dataset #17,0.42466329966329963,0.47284091149454904,0.055998745909673166,0.5455582975578521,0.03390673935559337,0.48714007157353495,0.05929903368539023
Dataset #18,0.516629711751663,0.6441848566956334,0.04036017759707715,0.6108146928360787,0.03478051697657976,0.5342097015967497,0.05024711466411539
Dataset #19,0.5153061224489797,0.5569257660268837,0.039224230050513,0.5755023153433568,0.08259118774339341,0.5194952536086465,0.05917646879316402
Dataset #20,0.5735294117647058,0.5209746981765783,0.029435696325808825,0.5550833457917635,0.027574725507829797,0.5091138845232539,0.07754023460276567
