,Random Walk (Mean),Random Walk (S.D.),BMTE (Mean),BMTE (S.D.),BMTE+Pruning (Mean),BMTE+Pruning (S.D.)
Dataset #1,0.6271405048047384,0.014227828441791306,0.6856798783806084,0.036062786695594505,0.7452550491257478,0.06078417968904746
Dataset #2,0.6422018238752931,0.016216198277158228,0.7004336366581264,0.04545378778328951,0.7160666360178831,0.07600940991452368
Dataset #3,0.7805034877991857,0.01376584554428721,0.8195222719637314,0.029474923860558402,0.8405773174003344,0.08204036544417498
Dataset #4,0.5228537453899567,0.019638934030003573,0.6458271193289655,0.06529207076265811,0.691053441052305,0.06617748707841138
Dataset #5,0.12824661911873392,0.0024280079658297537,0.13695433976157617,0.010252571030836067,0.36061879466620583,0.06693892208027234
Dataset #6,0.23208953744668034,0.0027910723437685604,0.23945888767317342,0.009382374578639713,0.4618891544962974,0.03049507763353784
Dataset #7,0.21769412592827225,0.003947413505156006,0.22626976585164735,0.012347116580347154,0.46709097948122347,0.03320041177205217
Dataset #8,0.20655191124068675,0.003164499669424149,0.21073600435845335,0.020636916066930352,0.442095063855268,0.052856397526034875
Dataset #9,0.5866449060277905,0.019505828498571166,0.7611327831921081,0.09065702155075615,0.7686654642474622,0.1499958906129017
Dataset #10,0.17816705799634072,0.006728577654731946,0.17828295658763946,0.02836521236751705,0.4171011443933791,0.048724627929504424
Dataset #11,0.36961650266960666,0.008690195660492134,0.4328814375186851,0.10384328856899626,0.5632750304627642,0.026191306864628467
Dataset #12,0.24274751718869364,0.0031535862421998976,0.2937738731856379,0.036906892267613116,0.49544773060739455,0.03801382896070513
Dataset #13,0.23084106369820662,0.004065188573420656,0.2407602173921947,0.007167325002801542,0.4743062657934938,0.0313237426600564
Dataset #14,0.2763147343466893,0.0025168135969659243,0.3093565895257625,0.01966773589025801,0.4989416615130901,0.033838876589052345
Dataset #15,0.2388679770564896,0.0076832836414934685,0.2752743084112745,0.020016138950806863,0.4616455614423214,0.041894068273810044
Dataset #16,0.20727077522412798,0.006551240237331327,0.2523973596859895,0.02801957751079775,0.38436514247009873,0.07526482723411833
Dataset #17,0.24884917479669671,0.0059923116810350575,0.30481365087779083,0.015546680493383546,0.4783402917134695,0.0613085632429124
Dataset #18,0.2892040649183506,0.008266941352314839,0.35742115027829313,0.03350335021397907,0.5256674132388417,0.04919652636541512
Dataset #19,0.23966545113343143,0.005607380537539807,0.2593312908583844,0.05626738736923796,0.4668548586972232,0.06042076723209519
Dataset #20,0.23995317723048815,0.004874637529313538,0.26955105274433,0.0199546135325342,0.4670147169979102,0.0740959514677104
