,Random Walk (Mean),Random Walk (S.D.),BMTE (Mean),BMTE (S.D.),BMTE+Pruning (Mean),BMTE+Pruning (S.D.)
Dataset #1,0.6473108008318127,0.02357821996584719,0.528250687043158,0.06072513616600993,0.007065193631426605,0.00820540946029405
Dataset #2,0.6312428208160618,0.027078405257422083,0.49824023234125486,0.07890217459115069,0.032831616927400165,0.013552139058012768
Dataset #3,0.43269304163984873,0.026855702733052496,0.34228088082348124,0.05444769606466901,0.016391461911235475,0.015613350330743422
Dataset #4,0.8077763953318702,0.020013559585263033,0.6208262961079755,0.0922112176826657,0.006807364211265469,0.008763343418387783
Dataset #5,0.8314246595062109,0.0090777658407072,0.7611642677625264,0.045930082754830334,0.009658479546890229,0.01332502416092495
Dataset #6,0.9837210426150701,0.0015155469520689037,0.938208810228115,0.019951861371092647,0.01627837676598267,0.019976621838621495
Dataset #7,0.9661454388964609,0.0018805937387997673,0.8996055992560583,0.029945002779339737,0.04714204004541519,0.01948024338675335
Dataset #8,0.9737250832187229,0.0027110855382981133,0.8807472629289579,0.0535501393320039,0.029507995156917828,0.028187060942637437
Dataset #9,0.734346109201651,0.025206850004213348,0.408409695454026,0.15418122950574475,0.03509049650665928,0.030747915517151305
Dataset #10,0.9298687211243921,0.009477036985786384,0.8286077403856918,0.07053480714160272,0.037788289943588176,0.027526778254492085
Dataset #11,0.9163655750775558,0.004563312622798739,0.7883747914898993,0.10975809248957738,0.05030478249981909,0.042557065677126533
Dataset #12,0.9429204912037003,0.005317178751194951,0.7600722178097883,0.06861970288355135,0.06423107643694767,0.0274580239221084
Dataset #13,0.9776211288807192,0.002339741315515445,0.9068643352681278,0.02737794852243314,0.05724138709135264,0.026759975507151944
Dataset #14,0.9792590352823236,0.0025539451951930737,0.8797925260757905,0.041582061001059954,0.04001049814481536,0.029903225860994018
Dataset #15,0.9875595470024121,0.00153241910605323,0.8591477310729181,0.05396585415342635,0.056233997643113945,0.02198858812280379
Dataset #16,0.9573985126621578,0.009078917623545433,0.7580252481463627,0.08214672778271224,0.09566983860314238,0.05337425251148659
Dataset #17,0.9877069312547271,0.003609395586779128,0.8497968019133901,0.029986630473081144,0.06227172366263961,0.034672952608363984
Dataset #18,0.9780396732411735,0.0037125528541055706,0.8164436674881582,0.06200851766225861,0.07524915557427653,0.02985290551221035
Dataset #19,0.983943891152183,0.004190347924914704,0.8246700730351109,0.09569010772515694,0.11137638243493075,0.03214572735002483
Dataset #20,0.9959551597703713,0.010710761869505411,0.8558239169032905,0.06792643074913818,0.10635961983421152,0.04313883838977533
