,EDSM,Random Walk (Mean),Random Walk (S.D.),BMTE (Mean),BMTE (S.D.),BMTE+Pruning (Mean),BMTE+Pruning (S.D.)
Dataset #1,0.94,0.9262353457788663,0.017006014409546542,0.9057956003038663,0.030296161185485747,0.7402589052583481,0.06413422261140381
Dataset #2,0.9734939759036144,0.898405936337405,0.00670239400155605,0.8965432108480123,0.012728767595457663,0.7386041942367703,0.07037679557738065
Dataset #3,0.965,0.9856517766656339,0.003442143135671589,0.9814366175435113,0.005101119611743825,0.8413735226210445,0.0775456261476726
Dataset #4,0.9774436090225563,0.9324374351883451,0.014399764586057677,0.9500591693110282,0.024254410310972155,0.7101823428268534,0.05910459016470412
Dataset #5,1.0,0.8898299826700654,0.01266871255070253,0.8531537414749837,0.017871810308151916,0.6644806264199886,0.06532816621748558
Dataset #6,0.5287356321839081,0.6278523503720433,0.02445380942199892,0.5913265867962406,0.010668804472127428,0.5562522180681729,0.030559692720088946
Dataset #7,0.45652173913043476,0.7115454638983261,0.04237738620187163,0.6494233675319234,0.0536771716090215,0.49006520188323177,0.035919383808983345
Dataset #8,0.5844155844155844,0.734158694840189,0.03908108074621596,0.6907567179267774,0.047171026383254676,0.5352253324048049,0.046485955385329326
Dataset #9,0.9641255605381166,0.8882928573995914,0.0077972803699555854,0.9057049983968103,0.029970652341848845,0.7837676733483748,0.13558321378363622
Dataset #10,0.8455882352941176,0.7713595533313393,0.024562875753805825,0.7455414691003878,0.051473271649334594,0.6094332858841338,0.049417269161588465
Dataset #11,0.6190476190476191,0.722695164612298,0.016203241772928128,0.7141729129378777,0.05477359948659277,0.5975305611944379,0.020894872569081582
Dataset #12,0.30303030303030304,0.46689686130862595,0.06945111598775586,0.47167118636512234,0.05557404720088404,0.39072964045758163,0.04696330336372742
Dataset #13,0.4426229508196721,0.6310746447399672,0.0735125595347823,0.629114489473277,0.037491140355873045,0.47735088589075236,0.036409959351589874
Dataset #14,0.52,0.5606498063694524,0.02641517316533872,0.5583216695910902,0.02298907126853719,0.49746560876193885,0.03505736362493149
Dataset #15,0.5454545454545454,0.5863971775465192,0.049340649458714275,0.5951049230980272,0.021754729898837383,0.5537163174788786,0.0361234280212292
Dataset #16,0.38095238095238093,0.7488095238095238,0.14170667702308587,0.5514035087719298,0.09259201340681454,0.45891223155929045,0.11007709682042902
Dataset #17,0.46296296296296297,0.5118498472163328,0.04060281825224824,0.568062292183168,0.025722261881273245,0.5125754561838811,0.06049017561395161
Dataset #18,0.5454545454545454,0.6445304577133013,0.032939545315091856,0.6224737260375559,0.026600861179305074,0.5609897252042697,0.04946957644447516
Dataset #19,0.5306122448979592,0.5715803912702875,0.037595578147354765,0.5918513082829177,0.08396071422705571,0.5363905146197744,0.05546279373789007
Dataset #20,0.6176470588235294,0.5868464875660371,0.021669463462130514,0.6114950592942481,0.01900231433520677,0.572913517357483,0.06759269313780975
