,EDSM,Random Walk (Mean),Random Walk (S.D.),BMTE (Mean),BMTE (S.D.),BMTE+Pruning (Mean),BMTE+Pruning (S.D.)
Dataset #1,0.957345971563981,0.965569882359774,0.005565620531978664,0.9460996007023093,0.019138619027968894,0.7593809069375115,0.05840074670372165
Dataset #2,0.9853372434017595,0.9456750887713966,0.007499231426583161,0.9463694216035232,0.00787397700560759,0.6974313520390677,0.08262584577513728
Dataset #3,0.9612403100775194,0.9584491326354184,0.005026449963066502,0.9602347099270793,0.006065641971647717,0.8438325963035712,0.08671756032444468
Dataset #4,0.9662447257383966,0.9537679183399586,0.013456522260498172,0.9486751650469705,0.01727680120324261,0.6710890762539418,0.07441475488578782
Dataset #5,0.9769585253456221,0.8820224279037367,0.015900112300993644,0.8265719979799178,0.027398576657556944,0.6069450247086771,0.06730514904553249
Dataset #6,0.4927536231884058,0.5813398899968221,0.025278057712337185,0.5477624506510766,0.010055071058448745,0.5162328566363207,0.02942941189253897
Dataset #7,0.5309734513274337,0.639837340629635,0.016588091818920816,0.6333478338513855,0.026271285468639584,0.5561159730736832,0.029337577233837717
Dataset #8,0.6043956043956044,0.7183367394042857,0.03211296799445524,0.6908307061808651,0.03348195886990529,0.5717111142200019,0.04785286451036449
Dataset #9,0.9642857142857143,0.9456826184891447,0.010241758075523645,0.9302531467187836,0.00974771247430654,0.7628888079076114,0.16129662410840917
Dataset #10,0.8571428571428571,0.8221841104915834,0.021617427295912768,0.7567324883521998,0.05188498526471257,0.5398901867275316,0.05416295402384343
Dataset #11,0.5581395348837209,0.7931045064159543,0.034520254457064796,0.7623625900917496,0.07065728318888549,0.5366038982850283,0.0273029091676475
Dataset #12,0.4857142857142857,0.6025180986440698,0.01899145632347588,0.6155626991179577,0.025240124534865915,0.5753948967166026,0.03619953977043017
Dataset #13,0.5222222222222223,0.5794778211964146,0.01986511713389551,0.5976045987154417,0.02292408097169462,0.5475369306626394,0.026172354352964125
Dataset #14,0.5324675324675324,0.5686548049093257,0.02054176648462504,0.5634617412825998,0.015562626512884205,0.5110680894843463,0.03155806867938031
Dataset #15,0.5,0.5492509723322386,0.057113602798965574,0.568137527698185,0.03533889792596625,0.5102810228813187,0.048073169427503115
Dataset #16,0.6428571428571429,0.6886087559003046,0.013142261471646604,0.70621883287623,0.020442943686614555,0.679822027197976,0.05510275628065436
Dataset #17,0.38636363636363635,0.4338319757727652,0.07197847318040344,0.5230543029325361,0.0438288668968147,0.461704686963189,0.05917437836485929
Dataset #18,0.4878048780487805,0.6438392556779654,0.055209231602681576,0.5991556596346017,0.046078401632509994,0.5074296779892297,0.05127665470878117
Dataset #19,0.5,0.5422711407834799,0.04127723441477283,0.5591533224037961,0.08132666345454491,0.5025999925975186,0.0631708964991647
Dataset #20,0.5294117647058824,0.4551029087871193,0.03777956897095084,0.4986716322892793,0.03787766260626537,0.4453142516890248,0.08875530496843512
